nivel2,cohortes,spells,efecto,efecto_min,efecto_max
estacion_servicio,2,173,0.19799999999999998,0.117,0.27899999999999997
alimentos_otros,3,512,0.167,0.07199999999999998,0.254
venta_vehiculos,3,376,0.161,0.142,0.186
golosinas,3,314,0.16033333333333336,0.135,0.19700000000000004
consultorio,3,603,0.14833333333333334,0.11299999999999999,0.171
comercio_otros,3,2248,0.14133333333333334,0.096,0.189
oficina,3,1718,0.13799999999999998,0.062,0.235
indumentaria_deportiva,3,403,0.13733333333333334,0.12500000000000003,0.14699999999999996
deposito,3,1605,0.13233333333333333,0.08100000000000002,0.21199999999999997
mayorista,3,1792,0.10899999999999999,0.069,0.15699999999999997
otro,3,4568,0.10666666666666667,0.09,0.11700000000000002
cobranzas,3,690,0.10633333333333334,0.089,0.12900000000000003
repuestos,3,1521,0.103,0.072,0.14
lacteos,3,563,0.09299999999999999,0.0009999999999999731,0.17500000000000002
articulos_hogar,3,454,0.08800000000000001,0.046,0.123
farmacia,3,778,0.08700000000000001,0.08299999999999999,0.095
perfumeria,3,1703,0.08633333333333332,0.059999999999999984,0.10099999999999998
fiambreria,3,513,0.08466666666666667,0.027999999999999997,0.131
construccion,3,279,0.08433333333333332,0.061,0.10099999999999998
optica,3,270,0.084,0.075,0.101
inmobiliaria,3,826,0.08033333333333333,0.043,0.13300000000000003
heladeria,3,693,0.07933333333333333,0.05199999999999999,0.11700000000000002
pinturería,2,218,0.07700000000000001,0.022000000000000006,0.132
dietetica,3,993,0.07166666666666667,0.052000000000000005,0.08399999999999999
merceria,3,766,0.07,0.05200000000000002,0.09599999999999999
tecnologia,3,896,0.06833333333333334,0.03499999999999999,0.088
marroquineria,3,1261,0.068,0.03199999999999999,0.093
lenceria,3,527,0.06766666666666667,0.057999999999999996,0.08100000000000002
seguros,2,196,0.06249999999999999,0.06,0.06499999999999999
intermediarios,3,431,0.060666666666666674,0.0,0.09100000000000003
jugueteria,3,924,0.06066666666666667,0.05000000000000002,0.078
calzado,3,1461,0.04999999999999999,0.03799999999999998,0.066
bazar,3,437,0.04966666666666666,0.029999999999999985,0.07799999999999999
bebidas,3,2347,0.04733333333333332,0.032999999999999974,0.07500000000000001
panaderia,3,1412,0.045000000000000005,0.011999999999999983,0.08800000000000002
libreria,3,1343,0.043999999999999984,0.034999999999999976,0.060999999999999985
ferreteria,3,599,0.042,-0.010999999999999982,0.11499999999999999
fabricacion,3,1878,0.04033333333333334,0.017000000000000015,0.08099999999999999
bijouterie,3,1440,0.040333333333333325,0.009999999999999995,0.065
comida_para_llevar,3,2142,0.03799999999999999,0.017999999999999988,0.062
forrajeria,3,866,0.028666666666666663,-0.009000000000000008,0.05499999999999999
fotocopias,3,853,0.024999999999999998,0.009000000000000008,0.043
carniceria,3,1512,0.024333333333333332,0.017,0.038000000000000006
almacen,3,5301,0.019333333333333338,-0.0020000000000000018,0.05000000000000002
polleria,3,1229,0.016666666666666666,-0.01100000000000001,0.05000000000000002
veterinaria,3,324,0.016333333333333335,-0.049,0.069
locutorio,2,255,0.014999999999999993,0.009999999999999995,0.01999999999999999
kiosco,3,4294,0.013666666666666666,0.01100000000000001,0.017999999999999988
limpieza,3,1208,0.011666666666666667,-0.0010000000000000009,0.036000000000000004
transporte,3,722,0.007999999999999998,-0.027999999999999997,0.063
ropa_infantil,3,693,0.0076666666666666645,-0.02100000000000002,0.04600000000000001
regaleria,3,1344,0.007333333333333326,-0.02099999999999999,0.033999999999999975
bar_restaurante,3,2667,0.0019999999999999927,-0.007000000000000006,0.010999999999999982
reparaciones,3,431,0.0016666666666666635,-0.02500000000000001,0.03799999999999998
juegos_azar,3,1082,0.0006666666666666626,-0.016000000000000014,0.011999999999999997
muebleria,3,715,-0.0013333333333333346,-0.008000000000000007,0.008000000000000007
verduleria,3,1643,-0.0016666666666666635,-0.015,0.012999999999999984
taller_mecanico,3,554,-0.0023333333333333353,-0.024999999999999994,0.02099999999999999
ropa,3,3577,-0.0026666666666666735,-0.018000000000000002,0.008000000000000007
peluqueria,3,1314,-0.007333333333333335,-0.01999999999999999,0.006999999999999992
gimnasio,3,336,-0.016000000000000004,-0.06200000000000001,0.03
belleza,3,350,-0.032,-0.04500000000000001,-0.012999999999999998
turismo,3,626,-0.043000000000000003,-0.061999999999999986,-0.009000000000000008
