rubronombre,n,nivel2,nivel1
Almacén de comestibles,5319,almacen,alimentos
"Venta al por menor de prendas de vestir, excepto las de cuero",3814,ropa,indumentaria
Kioscos instalados fuera del perímetro señalado en el código 633120.1 (zona 2),3592,kiosco,comercio general
VENTA AL POR MENOR DE PRODUCTOS DE ALMACÉN Y DIETÉTICA,3310,almacen,alimentos
SERVICIOS DE PREPARACIÓN DE COMIDAS PARA LLEVAR,2583,comida_para_llevar,gastronomia
"VENTA AL POR MENOR EN KIOSCOS, POLIRRUBROS Y COMERCIOS NO ESPECIALIZADOS N.C.P.",2326,kiosco,comercio general
OTRAS ACTIVIDADES N.C.P.,2212,comercio_otros,comercio general
VENTA AL POR MENOR DE BEBIDAS EN COMERCIOS ESPECIALIZADOS,2161,bebidas,alimentos
VENTA AL POR MENOR DE PRENDAS Y ACCESORIOS DE VESTIR N.C.P.,2158,ropa,indumentaria
"Venta al por menor de bebidas no alcohólicas, gaseosas y jugos",1995,bebidas,alimentos
Venta al por menor de vinos y otras bebidas alcohólicas y bebidas energizantes. Vinotecas. Vinerías,1914,bebidas,alimentos
Venta al por menor de artículos de perfumería y cosmética,1912,perfumeria,salud
Verdulería y Frutería,1802,verduleria,alimentos
Venta al por menor de calzado. Zapaterías y zapatillerías,1610,calzado,indumentaria
"Depósitos y almacenamientos en general, excepto alimentos",1471,deposito,industria y deposito
Carnicería. Venta al por menor de carnes y sus preparados y derivados (excepto envasada y congelada),1470,carniceria,alimentos
"Venta al por menor de artículos de librería, papelería y para oficina",1460,libreria,comercio general
"Venta de artículos de fantasías, bijouterie, platería, alhajas y orfebrería",1437,bijouterie,indumentaria
Venta al por menor de carteras y demás artículos de marroquinería,1426,marroquineria,indumentaria
Venta al por menor de artículos para regalos. Regalería,1397,regaleria,comercio general
OFICINA ADMINISTRATIVA,1394,oficina,servicios profesionales
"Venta al por menor de artículos, productos y insumos de limpieza",1312,limpieza,hogar y construccion
