rubronombre,n
Almacén de comestibles,5319
"Venta al por menor de prendas de vestir, excepto las de cuero",3814
Kioscos instalados fuera del perímetro señalado en el código 633120.1 (zona 2),3592
VENTA AL POR MENOR DE PRODUCTOS DE ALMACÉN Y DIETÉTICA,3310
SERVICIOS DE PREPARACIÓN DE COMIDAS PARA LLEVAR,2583
"VENTA AL POR MENOR EN KIOSCOS, POLIRRUBROS Y COMERCIOS NO ESPECIALIZADOS N.C.P.",2326
OTRAS ACTIVIDADES N.C.P.,2212
VENTA AL POR MENOR DE BEBIDAS EN COMERCIOS ESPECIALIZADOS,2161
VENTA AL POR MENOR DE PRENDAS Y ACCESORIOS DE VESTIR N.C.P.,2158
"Venta al por menor de bebidas no alcohólicas, gaseosas y jugos",1995
Venta al por menor de vinos y otras bebidas alcohólicas y bebidas energizantes. Vinotecas. Vinerías,1914
Venta al por menor de artículos de perfumería y cosmética,1912
Verdulería y Frutería,1802
Venta al por menor de calzado. Zapaterías y zapatillerías,1610
"Depósitos y almacenamientos en general, excepto alimentos",1471
Carnicería. Venta al por menor de carnes y sus preparados y derivados (excepto envasada y congelada),1470
"Venta al por menor de artículos de librería, papelería y para oficina",1460
"Venta de artículos de fantasías, bijouterie, platería, alhajas y orfebrería",1437
Venta al por menor de carteras y demás artículos de marroquinería,1426
Venta al por menor de artículos para regalos. Regalería,1397
OFICINA ADMINISTRATIVA,1394
"Venta al por menor de artículos, productos y insumos de limpieza",1312
Pollería. Venta al por menor de aves evisceradas y huevos,1312
"Servicios de elaboración propia o por terceros y venta para llevar y entrega a domicilio de alimentos perecederos calientes, fríos o congelados, sin sucursales, con superficie habilitada de hasta 50 m2",1281
VENTA AL POR MENOR DE PAN Y PRODUCTOS DE PANADERÍA,1205
Quiniela,1185
"VENTA AL POR MENOR DE CARNES ROJAS, MENUDENCIAS Y CHACINADOS FRESCOS",1181
VENTA AL POR MENOR DE ARTÍCULOS NUEVOS N.C.P.,1181
"VENTA AL POR MENOR DE FRUTAS, LEGUMBRES Y HORTALIZAS FRESCAS",1114
Venta al por menor de panificadoras y panaderías,1085
"VENTA AL POR MENOR DE HUEVOS, CARNE DE AVES Y PRODUCTOS DE GRANJA Y DE LA CAZA",1005
"VENTA AL POR MENOR DE PRODUCTOS COSMÉTICOS, DE TOCADOR Y DE PERFUMERÍA",980
"Bar, confiterías, pizzerías, lomiterías, empanaderías, parrilla, trattoría, confiterías y restaurantes con una superficie habilitada hasta 100 m2.-",974
"Venta al por menor de repuestos y accesorios para vehículos automotores, incluido equipos de G.N.C.",971
