nivel2,spells,cierres,mediana_anios,s5_5,s10_5,cohorte,spells_cohorte,base,efecto
estacion_servicio,86,74,5.002053388090349,0.419,0.174,2014-2015,12755,0.14,0.27899999999999997
oficina,315,250,5.002053388090349,0.375,0.229,2014-2015,12755,0.14,0.235
deposito,511,450,5.002053388090349,0.352,0.143,2014-2015,12755,0.14,0.21199999999999997
comercio_otros,568,480,5.002053388090349,0.329,0.169,2014-2015,12755,0.14,0.189
mayorista,603,536,5.002053388090349,0.297,0.128,2014-2015,12755,0.14,0.15699999999999997
venta_vehiculos,105,85,5.002053388090349,0.295,0.2,2014-2015,12755,0.14,0.15499999999999997
indumentaria_deportiva,115,98,5.002053388090349,0.287,0.148,2014-2015,12755,0.14,0.14699999999999996
repuestos,536,471,5.002053388090349,0.28,0.144,2014-2015,12755,0.14,0.14
golosinas,91,78,5.002053388090349,0.275,0.154,2014-2015,12755,0.14,0.135
pinturería,92,85,5.002053388090349,0.272,0.076,2014-2015,12755,0.14,0.132
articulos_hogar,137,118,5.002053388090349,0.263,0.139,2014-2015,12755,0.14,0.123
ferreteria,188,172,5.002053388090349,0.255,0.09,2014-2015,12755,0.14,0.11499999999999999
consultorio,162,136,5.002053388090349,0.253,0.167,2014-2015,12755,0.14,0.11299999999999999
perfumeria,614,549,5.002053388090349,0.241,0.112,2014-2015,12755,0.14,0.10099999999999998
construccion,83,77,5.002053388090349,0.241,0.072,2014-2015,12755,0.14,0.10099999999999998
marroquineria,434,393,5.002053388090349,0.233,0.104,2014-2015,12755,0.14,0.093
intermediarios,147,141,5.002053388090349,0.231,0.048,2014-2015,12755,0.14,0.091
otro,1549,1387,5.002053388090349,0.23,0.116,2014-2015,12755,0.14,0.09
cobranzas,398,363,4.999315537303217,0.229,0.123,2014-2015,12755,0.14,0.089
tecnologia,290,263,5.002053388090349,0.228,0.107,2014-2015,12755,0.14,0.088
dietetica,294,264,5.002053388090349,0.224,0.109,2014-2015,12755,0.14,0.08399999999999999
farmacia,305,276,5.002053388090349,0.223,0.098,2014-2015,12755,0.14,0.08299999999999999
fabricacion,610,562,5.002053388090349,0.221,0.09,2014-2015,12755,0.14,0.08099999999999999
bazar,142,129,5.002053388090349,0.218,0.099,2014-2015,12755,0.14,0.07799999999999999
optica,88,75,5.002053388090349,0.216,0.17,2014-2015,12755,0.14,0.07599999999999998
alimentos_otros,132,120,5.002053388090349,0.212,0.106,2014-2015,12755,0.14,0.07199999999999998
inmobiliaria,327,297,4.999315537303217,0.205,0.104,2014-2015,12755,0.14,0.06499999999999997
merceria,238,220,5.002053388090349,0.202,0.092,2014-2015,12755,0.14,0.062
seguros,95,87,5.002053388090349,0.2,0.095,2014-2015,12755,0.14,0.06
lenceria,172,158,5.002053388090349,0.198,0.105,2014-2015,12755,0.14,0.057999999999999996
forrajeria,287,268,5.002053388090349,0.195,0.087,2014-2015,12755,0.14,0.05499999999999999
jugueteria,324,302,5.002053388090349,0.194,0.08,2014-2015,12755,0.14,0.05399999999999999
heladeria,214,195,5.002053388090349,0.192,0.093,2014-2015,12755,0.14,0.05199999999999999
bijouterie,538,501,5.002053388090349,0.186,0.08,2014-2015,12755,0.14,0.045999999999999985
calzado,533,489,5.002053388090349,0.178,0.09,2014-2015,12755,0.14,0.03799999999999998
reparaciones,135,129,5.002053388090349,0.178,0.059,2014-2015,12755,0.14,0.03799999999999998
libreria,492,468,5.002053388090349,0.175,0.061,2014-2015,12755,0.14,0.034999999999999976
regaleria,493,467,5.002053388090349,0.174,0.063,2014-2015,12755,0.14,0.033999999999999975
bebidas,686,638,5.002053388090349,0.173,0.082,2014-2015,12755,0.14,0.032999999999999974
veterinaria,130,119,4.999315537303217,0.169,0.108,2014-2015,12755,0.14,0.028999999999999998
fiambreria,131,122,5.002053388090349,0.168,0.076,2014-2015,12755,0.14,0.027999999999999997
fotocopias,307,294,4.999315537303217,0.163,0.055,2014-2015,12755,0.14,0.022999999999999993
taller_mecanico,186,172,4.999315537303217,0.161,0.081,2014-2015,12755,0.14,0.02099999999999999
locutorio,125,118,5.002053388090349,0.16,0.072,2014-2015,12755,0.14,0.01999999999999999
comida_para_llevar,564,530,5.002053388090349,0.158,0.074,2014-2015,12755,0.14,0.017999999999999988
kiosco,1519,1438,5.002053388090349,0.158,0.063,2014-2015,12755,0.14,0.017999999999999988
carniceria,455,434,5.002053388090349,0.158,0.057,2014-2015,12755,0.14,0.017999999999999988
verduleria,548,521,5.002053388090349,0.153,0.058,2014-2015,12755,0.14,0.012999999999999984
panaderia,421,396,5.002053388090349,0.152,0.067,2014-2015,12755,0.14,0.011999999999999983
bar_restaurante,830,786,4.999315537303217,0.151,0.06,2014-2015,12755,0.14,0.010999999999999982
ropa,1247,1196,5.002053388090349,0.142,0.052,2014-2015,12755,0.14,0.001999999999999974
lacteos,156,145,5.002053388090349,0.141,0.071,2014-2015,12755,0.14,0.0009999999999999731
limpieza,404,389,5.002053388090349,0.139,0.05,2014-2015,12755,0.14,-0.0010000000000000009
almacen,1707,1634,5.002053388090349,0.138,0.052,2014-2015,12755,0.14,-0.0020000000000000018
muebleria,243,231,5.002053388090349,0.136,0.053,2014-2015,12755,0.14,-0.0040000000000000036
turismo,198,193,5.002053388090349,0.131,0.03,2014-2015,12755,0.14,-0.009000000000000008
peluqueria,465,443,5.002053388090349,0.131,0.069,2014-2015,12755,0.14,-0.009000000000000008
transporte,240,229,5.002053388090349,0.129,0.054,2014-2015,12755,0.14,-0.01100000000000001
polleria,379,360,5.002053388090349,0.129,0.058,2014-2015,12755,0.14,-0.01100000000000001
juegos_azar,499,482,5.002053388090349,0.124,0.042,2014-2015,12755,0.14,-0.016000000000000014
ropa_infantil,260,251,5.002053388090349,0.119,0.038,2014-2015,12755,0.14,-0.02100000000000002
belleza,105,103,5.002053388090349,0.095,0.029,2014-2015,12755,0.14,-0.04500000000000001
gimnasio,102,98,4.999315537303217,0.078,0.039,2014-2015,12755,0.14,-0.06200000000000001
tabaqueria,80,63,4.999315537303217,0.325,0.213,2016-2017,14298,0.113,0.21200000000000002
venta_vehiculos,134,99,4.999315537303217,0.299,0.261,2016-2017,14298,0.113,0.186
alimentos_otros,191,151,4.999315537303217,0.288,0.209,2016-2017,14298,0.113,0.175
consultorio,237,180,4.999315537303217,0.274,0.241,2016-2017,14298,0.113,0.16100000000000003
golosinas,126,102,4.999315537303217,0.262,0.19,2016-2017,14298,0.113,0.14900000000000002
indumentaria_deportiva,150,116,4.999315537303217,0.253,0.227,2016-2017,14298,0.113,0.14
comercio_otros,818,651,4.999315537303217,0.252,0.204,2016-2017,14298,0.113,0.139
fiambreria,201,165,4.999315537303217,0.244,0.179,2016-2017,14298,0.113,0.131
oficina,682,561,4.999315537303217,0.23,0.177,2016-2017,14298,0.113,0.117
estacion_servicio,87,69,4.999315537303217,0.23,0.206,2016-2017,14298,0.113,0.117
otro,1671,1360,4.999315537303217,0.226,0.186,2016-2017,14298,0.113,0.113
deposito,576,477,4.999315537303217,0.217,0.172,2016-2017,14298,0.113,0.104
lacteos,231,191,4.999315537303217,0.216,0.173,2016-2017,14298,0.113,0.103
mayorista,598,493,4.999315537303217,0.214,0.176,2016-2017,14298,0.113,0.10099999999999999
cobranzas,145,121,4.999315537303217,0.214,0.166,2016-2017,14298,0.113,0.10099999999999999
merceria,302,253,4.999315537303217,0.209,0.161,2016-2017,14298,0.113,0.09599999999999999
construccion,103,87,4.999315537303217,0.204,0.155,2016-2017,14298,0.113,0.09099999999999998
vivero,84,71,4.999315537303217,0.202,0.155,2016-2017,14298,0.113,0.08900000000000001
farmacia,271,222,4.999315537303217,0.196,0.18,2016-2017,14298,0.113,0.083
jugueteria,356,306,4.999315537303217,0.191,0.14,2016-2017,14298,0.113,0.078
optica,96,81,4.999315537303217,0.188,0.156,2016-2017,14298,0.113,0.075
repuestos,523,444,4.999315537303217,0.185,0.151,2016-2017,14298,0.113,0.072
heladeria,275,244,4.999315537303217,0.182,0.112,2016-2017,14298,0.113,0.06899999999999999
seguros,101,84,4.999315537303217,0.178,0.168,2016-2017,14298,0.113,0.06499999999999999
lenceria,203,175,4.999315537303217,0.177,0.138,2016-2017,14298,0.113,0.06399999999999999
libreria,482,414,4.999315537303217,0.174,0.141,2016-2017,14298,0.113,0.060999999999999985
perfumeria,629,535,4.999315537303217,0.173,0.149,2016-2017,14298,0.113,0.059999999999999984
dietetica,393,340,4.999315537303217,0.165,0.135,2016-2017,14298,0.113,0.052000000000000005
calzado,565,499,4.999315537303217,0.159,0.117,2016-2017,14298,0.113,0.046
articulos_hogar,170,152,4.999315537303217,0.159,0.106,2016-2017,14298,0.113,0.046
fotocopias,315,274,4.999315537303217,0.156,0.129,2016-2017,14298,0.113,0.043
inmobiliaria,282,249,4.999315537303217,0.156,0.117,2016-2017,14298,0.113,0.043
tecnologia,344,310,4.999315537303217,0.148,0.099,2016-2017,14298,0.113,0.03499999999999999
panaderia,541,480,4.999315537303217,0.148,0.113,2016-2017,14298,0.113,0.03499999999999999
comida_para_llevar,871,782,4.999315537303217,0.147,0.102,2016-2017,14298,0.113,0.03399999999999999
bebidas,884,788,4.999315537303217,0.147,0.109,2016-2017,14298,0.113,0.03399999999999999
marroquineria,512,458,4.999315537303217,0.145,0.105,2016-2017,14298,0.113,0.03199999999999999
bazar,154,136,4.999315537303217,0.143,0.117,2016-2017,14298,0.113,0.029999999999999985
fabricacion,669,593,4.999315537303217,0.136,0.114,2016-2017,14298,0.113,0.023000000000000007
ferreteria,260,229,4.999315537303217,0.135,0.119,2016-2017,14298,0.113,0.022000000000000006
pinturería,126,109,4.999315537303217,0.135,0.135,2016-2017,14298,0.113,0.022000000000000006
carniceria,522,486,4.999315537303217,0.13,0.069,2016-2017,14298,0.113,0.017
