nivel1,spells,cierres,mediana_anios,s5_5,s10_5
otro,7598,4016,4.999315537303217,0.258,0.151
salud,5128,2664,4.999315537303217,0.243,0.148
educacion,476,191,4.999315537303217,0.238,0.142
industria y deposito,6203,3746,4.999315537303217,0.225,0.104
automotor,3048,1986,4.999315537303217,0.205,0.106
esparcimiento,3384,1995,4.999315537303217,0.2,0.092
servicios profesionales,6938,4628,4.999315537303217,0.198,0.101
comercio general,13203,8407,4.999315537303217,0.188,0.088
hogar y construccion,5659,3381,4.999315537303217,0.186,0.083
alimentos,17874,10214,4.999315537303217,0.181,0.085
gastronomia,10671,5788,4.999315537303217,0.177,0.083
indumentaria,9952,6270,4.999315537303217,0.157,0.079
servicios personales,4644,3274,4.999315537303217,0.156,0.077
